,omiya-ardija,vegalta-sendai
Shots,12,11
ShotsOnTarget,5,3
ShotsFromPK,0,1
Passes,323,416
Crosses,10,25
DirectFK,10,12
IndirectFK,2,3
CK,8,10
Throwin,24,18
Dribbling,9,10
Tackles,12,20
Clearances,32,21
Intercepts,1,2
Offsides,3,2
YellowCards,1,1
RedCards,0,0
30mLineEntries,25,39
PenaltyAreaEntries,9,20
DistanceCovered,108563,109391
Sprints,165,160
Attacks,118,126
ChanceBuildingRate,10.2,8.7
Possession,47.1,52.9
