,consadole-sapporo,sanfrecce-hiroshima
Shots,9,25
ShotsOnTarget,5,8
ShotsFromPK,0,0
Passes,320,636
Crosses,9,20
DirectFK,10,18
IndirectFK,1,3
CK,3,12
Throwin,14,14
Dribbling,10,23
Tackles,23,18
Clearances,28,13
Intercepts,5,4
Offsides,3,1
YellowCards,4,0
RedCards,0,0
30mLineEntries,28,63
PenaltyAreaEntries,16,19
DistanceCovered,117148,110242
Sprints,147,125
Attacks,114,119
ChanceBuildingRate,7.9,21.0
Possession,38.4,61.6
