,urawa-red-diamonds,cerezo-osaka
Shots,11,8
ShotsOnTarget,5,1
ShotsFromPK,0,0
Passes,740,319
Crosses,13,7
DirectFK,10,10
IndirectFK,5,3
CK,2,2
Throwin,27,20
Dribbling,23,4
Tackles,17,27
Clearances,15,17
Intercepts,8,8
Offsides,3,5
YellowCards,1,0
RedCards,0,0
30mLineEntries,67,21
PenaltyAreaEntries,14,6
DistanceCovered,115716,116234
Sprints,151,178
Attacks,138,135
ChanceBuildingRate,8.0,5.9
Possession,65.7,34.3
