,vissel-kobe,kashima-antlers
Shots,14,15
ShotsOnTarget,5,5
ShotsFromPK,0,0
Passes,380,435
Crosses,9,13
DirectFK,5,17
IndirectFK,5,1
CK,4,7
Throwin,22,25
Dribbling,6,16
Tackles,15,20
Clearances,18,12
Intercepts,1,0
Offsides,1,5
YellowCards,4,1
RedCards,0,0
30mLineEntries,36,36
PenaltyAreaEntries,18,22
DistanceCovered,100428,100633
Sprints,153,159
Attacks,96,121
ChanceBuildingRate,14.6,12.4
Possession,48.3,51.7
