,vegalta-sendai,kawasaki-frontale
Shots,7,20
ShotsOnTarget,1,6
ShotsFromPK,0,0
Passes,498,461
Crosses,17,14
DirectFK,12,12
IndirectFK,5,3
CK,9,8
Throwin,18,25
Dribbling,12,14
Tackles,21,22
Clearances,24,24
Intercepts,5,1
Offsides,3,5
YellowCards,1,2
RedCards,0,0
30mLineEntries,33,39
PenaltyAreaEntries,7,21
DistanceCovered,116339,110004
Sprints,196,193
Attacks,118,117
ChanceBuildingRate,5.9,17.1
Possession,53.9,46.1
