,kashiwa-reysol,gamba-osaka
Shots,11,15
ShotsOnTarget,4,9
ShotsFromPK,0,1
Passes,567,489
Crosses,15,18
DirectFK,14,10
IndirectFK,4,1
CK,4,2
Throwin,24,18
Dribbling,17,19
Tackles,20,33
Clearances,18,25
Intercepts,2,1
Offsides,1,4
YellowCards,1,1
RedCards,0,0
30mLineEntries,34,48
PenaltyAreaEntries,12,15
DistanceCovered,115347,120764
Sprints,151,174
Attacks,136,124
ChanceBuildingRate,8.1,12.1
Possession,54.3,45.7
