,sanfrecce-hiroshima,consadole-sapporo
Shots,11,13
ShotsOnTarget,2,1
ShotsFromPK,1,1
Passes,474,377
Crosses,13,18
DirectFK,12,8
IndirectFK,2,2
CK,5,7
Throwin,14,14
Dribbling,4,13
Tackles,14,18
Clearances,25,24
Intercepts,0,1
Offsides,2,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,33,44
PenaltyAreaEntries,7,19
DistanceCovered,106940,106331
Sprints,145,152
Attacks,106,108
ChanceBuildingRate,10.4,12.0
Possession,54.8,45.2
