,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2020-02-22,(土),札幌,4-2,4,2,0,三協Ｆ柏,12468,曇,56,39,0.173,26,0.154,0.494,15.9,12.92,153.5,23.55,"['江坂x2', 'オルンガx2']",ネルシーニョ
1,2,2020-07-04,(土),FC東京,0-1,0,1,0,三協Ｆ柏,0,曇,56,46,0.088,10,0.0,0.548,16.88,14.67,93.79,8.75,[''],ネルシーニョ
2,3,2020-07-08,(水),横浜FC,1-3,1,3,0,三協Ｆ柏,0,曇,57,59,0.137,16,0.063,0.489,14.64,10.76,99.52,8.55,['呉屋'],ネルシーニョ
3,4,2020-07-11,(土),川崎Ｆ,1-3,1,3,1,等々力,4724,曇,21,38,0.04,5,0.2,0.439,9.78,9.01,106.54,13.68,['呉屋'],ネルシーニョ
4,5,2020-07-18,(土),湘南,3-2,3,2,0,三協Ｆ柏,2645,曇,51,61,0.11,12,0.25,0.448,13.37,9.65,95.37,12.94,"['オルンガx2', '仲間']",ネルシーニョ
5,6,2020-07-22,(水),浦和,4-0,4,0,1,埼玉,4127,曇のち雨,33,47,0.081,10,0.4,0.444,8.88,7.82,87.55,20.47,"['ヒシャルジソン', 'オルンガ', '仲間', '神谷']",ネルシーニョ
6,7,2020-07-26,(日),仙台,5-1,5,1,0,三協Ｆ柏,2500,曇一時雨,54,54,0.147,16,0.313,0.495,15.79,13.2,102.43,14.91,"['仲間', 'オルンガx3', '瀬川']",ネルシーニョ
7,8,2020-08-01,(土),名古屋,1-0,1,0,1,豊田ス,4678,晴,38,52,0.065,7,0.143,0.502,10.93,10.53,69.07,10.56,['オルンガ'],ネルシーニョ
8,9,2020-08-08,(土),横浜FM,1-1,1,1,1,日産ス,4988,晴,38,27,0.096,11,0.091,0.351,6.08,4.58,68.02,26.17,['オルンガ'],ネルシーニョ
9,10,2020-08-15,(土),Ｃ大阪,1-3,1,3,0,三協Ｆ柏,2603,晴,75,70,0.198,22,0.045,0.556,24.88,20.28,115.86,5.99,['オルンガ'],ネルシーニョ
10,11,2020-08-19,(水),神戸,3-2,3,2,1,ノエスタ,3578,晴,44,43,0.134,13,0.231,0.356,8.12,6.52,56.08,16.19,"['仲間', 'オルンガ', '三原']",ネルシーニョ
11,12,2020-08-23,(日),大分,0-0,0,0,1,昭和電ド,4004,屋内,52,53,0.174,16,0.0,0.454,14.23,11.82,66.9,11.65,[''],ネルシーニョ
12,13,2020-08-29,(土),鹿島,2-3,2,3,0,三協Ｆ柏,2728,晴,48,34,0.097,11,0.182,0.428,10.66,8.08,48.33,13.99,['オルンガx2'],ネルシーニョ
