,cerezo-osaka,jubilo-iwata
ExpG,1.807,1.448
Shots,14,18
ShotsOnTarget,7,5
ShotsFromPK,0,0
Passes,415,386
Crosses,9,23
DirectFK,14,6
IndirectFK,0,7
CK,6,8
Throwin,17,17
Dribbling,12,17
Tackles,21,18
Clearances,41,13
Intercepts,2,2
Offsides,7,0
YellowCards,1,0
RedCards,0,0
30mLineEntries,33,47
PenaltyAreaEntries,17,13
DistanceCovered,111444,109338
Sprints,147,159
Attacks,111,105
ChanceBuildingRate,12.6,17.1
Possession,53.7,46.3
