,cerezo-osaka,sanfrecce-hiroshima
ExpG,0.711,0.688
Shots,12,10
ShotsOnTarget,2,2
ShotsFromPK,0,0
Passes,842,350
Crosses,23,13
DirectFK,12,10
IndirectFK,0,1
CK,3,1
Throwin,24,15
Dribbling,9,8
Tackles,16,23
Clearances,14,22
Intercepts,2,6
Offsides,1,0
YellowCards,3,1
RedCards,0,0
30mLineEntries,69,30
PenaltyAreaEntries,15,10
DistanceCovered,119411,122417
Sprints,133,130
Attacks,120,116
ChanceBuildingRate,10.0,8.6
Possession,67,33
