,matsumoto-yamaga,vissel-kobe
ExpG,1.567,2.167
Shots,13,13
ShotsOnTarget,4,7
ShotsFromPK,0,0
Passes,224,637
Crosses,11,38
DirectFK,13,13
IndirectFK,2,1
CK,7,7
Throwin,18,28
Dribbling,14,26
Tackles,40,30
Clearances,26,19
Intercepts,5,5
Offsides,1,2
YellowCards,1,2
RedCards,0,0
30mLineEntries,22,73
PenaltyAreaEntries,11,21
DistanceCovered,120763,111051
Sprints,176,151
Attacks,123,129
ChanceBuildingRate,10.6,10.1
Possession,32.7,67.3
