,vissel-kobe,shimizu-s-pulse
ExpG,1.224,1.77
Shots,13,20
ShotsOnTarget,8,7
ShotsFromPK,0,0
Passes,693,451
Crosses,13,24
DirectFK,10,3
IndirectFK,0,3
CK,9,8
Throwin,12,12
Dribbling,17,12
Tackles,17,13
Clearances,22,20
Intercepts,5,4
Offsides,3,0
YellowCards,1,1
RedCards,0,0
30mLineEntries,40,57
PenaltyAreaEntries,19,15
DistanceCovered,109770,114541
Sprints,141,181
Attacks,117,109
ChanceBuildingRate,11.1,18.3
Possession,60,40
