,sagan-tosu,kawasaki-frontale
ExpG,0.84,0.649
Shots,9,9
ShotsOnTarget,2,4
ShotsFromPK,0,0
Passes,404,641
Crosses,18,11
DirectFK,14,12
IndirectFK,3,1
CK,4,5
Throwin,32,13
Dribbling,18,8
Tackles,20,20
Clearances,20,27
Intercepts,2,3
Offsides,1,2
YellowCards,2,3
RedCards,0,0
30mLineEntries,34,45
PenaltyAreaEntries,7,12
DistanceCovered,117231,110956
Sprints,170,157
Attacks,128,111
ChanceBuildingRate,7.0,8.1
Possession,43.7,56.3
