,nagoya-grampus-eight,jubilo-iwata
ExpG,0.708,2.005
Shots,5,13
ShotsOnTarget,1,4
ShotsFromPK,0,0
Passes,642,297
Crosses,8,10
DirectFK,14,16
IndirectFK,6,2
CK,5,3
Throwin,17,28
Dribbling,13,9
Tackles,27,20
Clearances,20,29
Intercepts,1,5
Offsides,2,6
YellowCards,1,4
RedCards,0,1
30mLineEntries,40,22
PenaltyAreaEntries,12,10
DistanceCovered,109970,110208
Sprints,153,164
Attacks,131,131
ChanceBuildingRate,3.8,9.9
Possession,62.6,37.4
