,yokohama-fa-marinos,matsumoto-yamaga
ExpG,1.084,0.353
Shots,13,7
ShotsOnTarget,4,0
ShotsFromPK,0,0
Passes,744,219
Crosses,12,11
DirectFK,13,7
IndirectFK,3,1
CK,10,6
Throwin,29,30
Dribbling,14,2
Tackles,26,34
Clearances,23,21
Intercepts,1,4
Offsides,1,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,49,12
PenaltyAreaEntries,12,5
DistanceCovered,110440,114255
Sprints,154,179
Attacks,128,115
ChanceBuildingRate,10.2,6.1
Possession,71.1,28.9
