,fc-tokyo,sagan-tosu
ExpG,1.754,0.906
Shots,16,7
ShotsOnTarget,6,1
ShotsFromPK,0,0
Passes,472,377
Crosses,17,9
DirectFK,11,11
IndirectFK,3,1
CK,6,5
Throwin,23,37
Dribbling,12,14
Tackles,22,22
Clearances,26,23
Intercepts,1,0
Offsides,1,3
YellowCards,1,3
RedCards,0,1
30mLineEntries,49,19
PenaltyAreaEntries,12,4
DistanceCovered,110155,108897
Sprints,160,151
Attacks,121,138
ChanceBuildingRate,13.2,5.1
Possession,54.3,45.7
