,urawa-red-diamonds,oita-trinita
ExpG,1.333,0.459
Shots,17,4
ShotsOnTarget,4,2
ShotsFromPK,0,0
Passes,598,569
Crosses,13,9
DirectFK,14,10
IndirectFK,1,0
CK,4,4
Throwin,14,14
Dribbling,14,3
Tackles,12,15
Clearances,13,12
Intercepts,3,5
Offsides,0,1
YellowCards,1,2
RedCards,0,0
30mLineEntries,47,19
PenaltyAreaEntries,11,6
DistanceCovered,109021,112963
Sprints,112,152
Attacks,97,94
ChanceBuildingRate,17.5,4.3
Possession,50.7,49.3
