,vegalta-sendai,nagoya-grampus-eight
ExpG,1.061,0.675
Shots,10,10
ShotsOnTarget,4,2
ShotsFromPK,0,0
Passes,310,675
Crosses,12,12
DirectFK,12,9
IndirectFK,1,0
CK,2,6
Throwin,16,22
Dribbling,6,21
Tackles,42,21
Clearances,28,16
Intercepts,4,2
Offsides,0,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,22,61
PenaltyAreaEntries,8,14
DistanceCovered,110218,111825
Sprints,162,171
Attacks,121,129
ChanceBuildingRate,8.3,7.8
Possession,38.4,61.6
