,urawa-red-diamonds,kawasaki-frontale
ExpG,1.514,0.983
Shots,10,13
ShotsOnTarget,3,5
ShotsFromPK,0,0
Passes,554,644
Crosses,20,13
DirectFK,12,8
IndirectFK,3,1
CK,3,3
Throwin,14,18
Dribbling,10,6
Tackles,17,20
Clearances,23,19
Intercepts,4,1
Offsides,1,3
YellowCards,0,1
RedCards,0,0
30mLineEntries,38,55
PenaltyAreaEntries,7,13
DistanceCovered,115927,111337
Sprints,174,155
Attacks,108,108
ChanceBuildingRate,9.3,12.0
Possession,46.1,53.9
