,yokohama-fa-marinos,jubilo-iwata
ExpG,3.571,1.207
Shots,22,14
ShotsOnTarget,10,1
ShotsFromPK,1,0
Passes,613,312
Crosses,17,11
DirectFK,16,14
IndirectFK,5,4
CK,4,5
Throwin,14,20
Dribbling,15,12
Tackles,17,15
Clearances,17,25
Intercepts,0,4
Offsides,4,5
YellowCards,1,1
RedCards,0,0
30mLineEntries,49,29
PenaltyAreaEntries,24,9
DistanceCovered,113518,109084
Sprints,176,193
Attacks,117,116
ChanceBuildingRate,18.8,12.1
Possession,61.6,38.4
