,yokohama-fa-marinos,sagan-tosu
ExpG,1.761,0.659
Shots,20,6
ShotsOnTarget,6,1
ShotsFromPK,0,0
Passes,650,267
Crosses,16,6
DirectFK,15,12
IndirectFK,6,3
CK,9,3
Throwin,30,25
Dribbling,11,6
Tackles,24,29
Clearances,20,25
Intercepts,2,6
Offsides,3,4
YellowCards,1,3
RedCards,0,0
30mLineEntries,61,23
PenaltyAreaEntries,11,5
DistanceCovered,122437,123453
Sprints,198,230
Attacks,147,138
ChanceBuildingRate,13.6,4.3
Possession,65.6,34.4
