,cerezo-osaka,fc-tokyo
ExpG,0.969,0.829
Shots,17,12
ShotsOnTarget,2,2
ShotsFromPK,0,0
Passes,436,363
Crosses,20,10
DirectFK,15,15
IndirectFK,0,3
CK,9,2
Throwin,17,22
Dribbling,9,13
Tackles,25,20
Clearances,21,26
Intercepts,1,0
Offsides,2,0
YellowCards,3,0
RedCards,0,0
30mLineEntries,37,43
PenaltyAreaEntries,7,12
DistanceCovered,113416,108996
Sprints,152,181
Attacks,117,108
ChanceBuildingRate,14.5,11.1
Possession,53,47
