,fc-tokyo,kawasaki-frontale
ExpG,0.99,1.301
Shots,10,16
ShotsOnTarget,1,9
ShotsFromPK,0,0
Passes,450,653
Crosses,15,8
DirectFK,9,10
IndirectFK,0,2
CK,5,4
Throwin,20,15
Dribbling,7,3
Tackles,14,19
Clearances,13,24
Intercepts,4,0
Offsides,2,0
YellowCards,0,2
RedCards,0,0
30mLineEntries,31,61
PenaltyAreaEntries,6,12
DistanceCovered,105495,105732
Sprints,126,146
Attacks,122,112
ChanceBuildingRate,8.2,14.3
Possession,46.6,53.4
