,gamba-osaka,nagoya-grampus-eight
ExpG,1.576,1.462
Shots,10,17
ShotsOnTarget,6,9
ShotsFromPK,1,0
Passes,479,514
Crosses,8,8
DirectFK,15,16
IndirectFK,1,7
CK,3,7
Throwin,21,20
Dribbling,7,5
Tackles,23,18
Clearances,23,19
Intercepts,3,1
Offsides,7,1
YellowCards,1,0
RedCards,0,0
30mLineEntries,41,47
PenaltyAreaEntries,16,22
DistanceCovered,111424,112815
Sprints,197,174
Attacks,124,133
ChanceBuildingRate,8.1,12.8
Possession,50.3,49.7
