,vissel-kobe,gamba-osaka
ExpG,3.089,1.458
Shots,27,14
ShotsOnTarget,11,6
ShotsFromPK,1,0
Passes,533,402
Crosses,32,9
DirectFK,8,10
IndirectFK,3,0
CK,8,5
Throwin,15,18
Dribbling,29,14
Tackles,19,23
Clearances,13,25
Intercepts,7,2
Offsides,0,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,65,32
PenaltyAreaEntries,25,12
DistanceCovered,108237,112108
Sprints,177,148
Attacks,112,111
ChanceBuildingRate,24.1,12.6
Possession,57.2,42.8
