,kawasaki-frontale,urawa-red-diamonds
ExpG,2.539,0.621
Shots,17,8
ShotsOnTarget,5,3
ShotsFromPK,0,0
Passes,697,399
Crosses,14,9
DirectFK,16,8
IndirectFK,2,0
CK,6,4
Throwin,17,18
Dribbling,12,8
Tackles,19,33
Clearances,24,22
Intercepts,1,1
Offsides,0,2
YellowCards,1,1
RedCards,0,0
30mLineEntries,61,27
PenaltyAreaEntries,13,7
DistanceCovered,104104,107971
Sprints,159,158
Attacks,113,107
ChanceBuildingRate,15.0,7.5
Possession,61,39
