,kawasaki-frontale,consadole-sapporo
ExpG,3.583,1.184
Shots,26,4
ShotsOnTarget,9,2
ShotsFromPK,1,1
Passes,662,383
Crosses,27,10
DirectFK,14,14
IndirectFK,1,0
CK,7,1
Throwin,22,14
Dribbling,18,6
Tackles,22,24
Clearances,16,36
Intercepts,2,5
Offsides,0,1
YellowCards,3,2
RedCards,0,0
30mLineEntries,76,24
PenaltyAreaEntries,27,7
DistanceCovered,112807,118820
Sprints,165,162
Attacks,116,113
ChanceBuildingRate,22.4,3.5
Possession,58.6,41.4
