,sanfrecce-hiroshima,vissel-kobe
ExpG,2.31,0.946
Shots,23,14
ShotsOnTarget,13,7
ShotsFromPK,1,0
Passes,466,646
Crosses,16,8
DirectFK,11,8
IndirectFK,0,1
CK,3,5
Throwin,21,8
Dribbling,16,9
Tackles,18,20
Clearances,15,23
Intercepts,4,4
Offsides,1,0
YellowCards,0,1
RedCards,0,1
30mLineEntries,54,60
PenaltyAreaEntries,24,15
DistanceCovered,111550,105203
Sprints,161,131
Attacks,98,93
ChanceBuildingRate,23.5,15.1
Possession,43.5,56.5
