,consadole-sapporo,nagoya-grampus-eight
ExpG,2.203,0.452
Shots,15,8
ShotsOnTarget,8,1
ShotsFromPK,1,0
Passes,673,404
Crosses,8,13
DirectFK,5,21
IndirectFK,0,3
CK,6,3
Throwin,14,10
Dribbling,14,12
Tackles,11,18
Clearances,14,14
Intercepts,1,1
Offsides,3,0
YellowCards,2,0
RedCards,0,1
30mLineEntries,44,33
PenaltyAreaEntries,10,7
DistanceCovered,111184,107383
Sprints,167,141
Attacks,96,103
ChanceBuildingRate,15.6,7.8
Possession,58.9,41.1
