,shimizu-s-pulse,vissel-kobe
ExpG,1.172,0.887
Shots,12,12
ShotsOnTarget,5,2
ShotsFromPK,0,0
Passes,299,557
Crosses,9,13
DirectFK,9,12
IndirectFK,2,0
CK,3,4
Throwin,21,24
Dribbling,11,8
Tackles,12,16
Clearances,22,20
Intercepts,3,4
Offsides,0,2
YellowCards,2,2
RedCards,0,0
30mLineEntries,32,34
PenaltyAreaEntries,8,10
Attacks,110,115
ChanceBuildingRate,10.9,10.4
Possession,36.4,63.6
