,matsumoto-yamaga,urawa-red-diamonds
ExpG,1.767,1.271
Shots,10,7
ShotsOnTarget,2,2
ShotsFromPK,0,1
Passes,345,360
Crosses,14,13
DirectFK,13,9
IndirectFK,5,5
CK,8,6
Throwin,35,29
Dribbling,11,10
Tackles,14,17
Clearances,27,41
Intercepts,0,5
Offsides,3,5
YellowCards,1,1
RedCards,0,0
30mLineEntries,21,19
PenaltyAreaEntries,4,5
DistanceCovered,106928,104491
Sprints,160,131
Attacks,151,146
ChanceBuildingRate,6.6,4.8
Possession,51.4,48.6
