,kashima-antlers,sanfrecce-hiroshima
ExpG,0.959,1.511
Shots,10,12
ShotsOnTarget,4,3
ShotsFromPK,0,0
Passes,488,481
Crosses,12,15
DirectFK,12,8
IndirectFK,0,4
CK,4,4
Throwin,20,30
Dribbling,10,11
Tackles,20,26
Clearances,25,22
Intercepts,5,3
Offsides,4,0
YellowCards,1,4
RedCards,0,0
30mLineEntries,39,39
PenaltyAreaEntries,15,14
DistanceCovered,108914,110054
Sprints,159,168
Attacks,122,118
ChanceBuildingRate,8.2,10.2
Possession,51.8,48.2
