,matsumoto-yamaga,fc-tokyo
ExpG,0.509,1.033
Shots,10,13
ShotsOnTarget,2,2
ShotsFromPK,0,0
Passes,270,559
Crosses,9,23
DirectFK,10,12
IndirectFK,2,4
CK,2,7
Throwin,18,17
Dribbling,2,17
Tackles,22,19
Clearances,21,11
Intercepts,1,2
Offsides,4,1
YellowCards,1,1
RedCards,0,0
30mLineEntries,20,59
PenaltyAreaEntries,12,17
DistanceCovered,105697,101113
Sprints,131,142
Attacks,107,111
ChanceBuildingRate,9.3,11.7
Possession,37.4,62.6
