,cerezo-osaka,kawasaki-frontale
ExpG,1.071,1.918
Shots,10,14
ShotsOnTarget,6,3
ShotsFromPK,0,0
Passes,319,651
Crosses,14,24
DirectFK,9,13
IndirectFK,3,3
CK,7,6
Throwin,16,31
Dribbling,5,7
Tackles,18,22
Clearances,39,25
Intercepts,0,1
Offsides,3,3
YellowCards,2,2
RedCards,0,0
30mLineEntries,30,66
PenaltyAreaEntries,8,16
DistanceCovered,113373,109750
Sprints,111,115
Attacks,103,120
ChanceBuildingRate,9.7,11.7
Possession,39.7,60.3
