,nagoya-grampus-eight,yokohama-fa-marinos
ExpG,2.301,4.129
Shots,13,20
ShotsOnTarget,3,10
ShotsFromPK,0,2
Passes,514,496
Crosses,23,11
DirectFK,18,10
IndirectFK,3,5
CK,6,4
Throwin,23,9
Dribbling,16,15
Tackles,13,20
Clearances,10,29
Intercepts,3,1
Offsides,4,3
YellowCards,1,1
RedCards,1,0
30mLineEntries,42,41
PenaltyAreaEntries,18,19
DistanceCovered,105328,111313
Sprints,149,157
Attacks,113,96
ChanceBuildingRate,11.5,20.8
Possession,48,52
