,vissel-kobe,yokohama-fa-marinos
ExpG,1.519,1.845
Shots,20,13
ShotsOnTarget,4,6
ShotsFromPK,0,1
Passes,394,485
Crosses,14,7
DirectFK,15,15
IndirectFK,3,12
CK,7,5
Throwin,18,19
Dribbling,17,12
Tackles,21,22
Clearances,19,23
Intercepts,2,1
Offsides,11,3
YellowCards,2,1
RedCards,0,1
30mLineEntries,43,37
PenaltyAreaEntries,18,14
DistanceCovered,105309,110855
Sprints,194,174
Attacks,112,117
ChanceBuildingRate,17.9,11.1
Possession,48.2,51.8
