,yokohama-fa-marinos,fc-tokyo
ExpG,0.56,0.931
Shots,8,8
ShotsOnTarget,4,3
ShotsFromPK,0,0
Passes,564,423
Crosses,9,16
DirectFK,14,10
IndirectFK,3,2
CK,6,8
Throwin,25,23
Dribbling,17,13
Tackles,25,40
Clearances,20,13
Intercepts,1,3
Offsides,2,3
YellowCards,1,2
RedCards,1,0
30mLineEntries,45,46
PenaltyAreaEntries,8,11
DistanceCovered,115769,117285
Sprints,210,204
Attacks,138,131
ChanceBuildingRate,5.8,6.1
Possession,56.2,43.8
