,nagoya-grampus-eight,shonan-bellmare
Shots,23,8
ShotsOnTarget,4,4
ShotsFromPK,1,0
Passes,416,468
Crosses,26,15
DirectFK,12,12
IndirectFK,4,2
CK,10,5
Throwin,25,10
Dribbling,13,9
Tackles,24,26
Clearances,15,39
Intercepts,3,2
Offsides,2,3
YellowCards,0,2
RedCards,0,0
30mLineEntries,39,38
PenaltyAreaEntries,20,14
DistanceCovered,111994,115828
Sprints,179,226
Attacks,145,134
ChanceBuildingRate,15.9,6.0
Possession,47,53
