,gamba-osaka,albirex-niigata
Shots,13,17
ShotsOnTarget,5,8
ShotsFromPK,1,0
Passes,599,351
Crosses,16,9
DirectFK,15,15
IndirectFK,0,2
CK,7,4
Throwin,19,23
Dribbling,13,12
Tackles,34,29
Clearances,21,31
Intercepts,6,4
Offsides,2,0
YellowCards,2,4
RedCards,0,2
30mLineEntries,60,39
PenaltyAreaEntries,14,7
DistanceCovered,115763,111306
Sprints,171,146
Attacks,132,122
ChanceBuildingRate,9.8,13.9
Possession,60.1,39.9
