,sanfrecce-hiroshima,shonan-bellmare
Shots,27,7
ShotsOnTarget,4,2
ShotsFromPK,1,0
Passes,682,324
Crosses,37,5
DirectFK,9,3
IndirectFK,0,3
CK,9,2
Throwin,40,12
Dribbling,36,5
Tackles,14,27
Clearances,7,53
Intercepts,2,6
Offsides,3,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,63,28
PenaltyAreaEntries,30,6
DistanceCovered,111741,122263
Sprints,141,229
Attacks,144,117
ChanceBuildingRate,18.8,6.0
Possession,61,39
