,kashima-antlers,jubilo-iwata
Shots,16,10
ShotsOnTarget,7,1
ShotsFromPK,1,0
Passes,473,321
Crosses,14,13
DirectFK,17,19
IndirectFK,2,6
CK,6,3
Throwin,18,30
Dribbling,14,12
Tackles,27,24
Clearances,21,15
Intercepts,0,0
Offsides,6,2
YellowCards,1,3
RedCards,0,1
30mLineEntries,44,43
PenaltyAreaEntries,16,13
DistanceCovered,107567,110371
Sprints,183,183
Attacks,128,130
ChanceBuildingRate,12.5,7.7
Possession,56.8,43.2
