,fc-tokyo,shonan-bellmare
Shots,11,20
ShotsOnTarget,5,2
ShotsFromPK,0,0
Passes,457,462
Crosses,15,22
DirectFK,11,16
IndirectFK,2,2
CK,2,7
Throwin,15,24
Dribbling,11,12
Tackles,22,20
Clearances,28,16
Intercepts,1,7
Offsides,2,2
YellowCards,2,1
RedCards,0,0
30mLineEntries,45,46
PenaltyAreaEntries,13,21
DistanceCovered,115033,117421
Sprints,155,159
Attacks,128,143
ChanceBuildingRate,8.6,14.0
Possession,50.4,49.6
