,kashiwa-reysol,sagan-tosu
Shots,11,11
ShotsOnTarget,3,4
ShotsFromPK,0,0
Passes,587,394
Crosses,16,12
DirectFK,12,12
IndirectFK,5,1
CK,4,3
Throwin,31,21
Dribbling,15,16
Tackles,19,24
Clearances,22,31
Intercepts,1,0
Offsides,1,5
YellowCards,0,1
RedCards,0,0
30mLineEntries,44,37
PenaltyAreaEntries,16,10
DistanceCovered,117043,126370
Sprints,142,170
Attacks,146,141
ChanceBuildingRate,7.5,7.8
Possession,54.6,45.4
