,kashiwa-reysol,vissel-kobe
Shots,9,9
ShotsOnTarget,5,1
ShotsFromPK,0,0
Passes,374,545
Crosses,8,18
DirectFK,11,10
IndirectFK,6,0
CK,2,4
Throwin,28,35
Dribbling,13,17
Tackles,27,31
Clearances,34,13
Intercepts,5,7
Offsides,0,6
YellowCards,1,4
RedCards,0,0
30mLineEntries,26,51
PenaltyAreaEntries,5,12
DistanceCovered,109211,105473
Sprints,170,145
Attacks,136,139
ChanceBuildingRate,6.6,6.5
Possession,44.3,55.7
