,gamba-osaka,fc-tokyo
Shots,12,21
ShotsOnTarget,7,7
ShotsFromPK,0,0
Passes,423,631
Crosses,10,23
DirectFK,14,13
IndirectFK,2,3
CK,1,5
Throwin,17,36
Dribbling,13,16
Tackles,30,17
Clearances,28,16
Intercepts,4,3
Offsides,3,2
YellowCards,1,1
RedCards,0,0
30mLineEntries,38,76
PenaltyAreaEntries,11,18
DistanceCovered,114659,114178
Sprints,139,124
Attacks,129,146
ChanceBuildingRate,9.3,14.4
Possession,43.4,56.6
