,shonan-bellmare,kawasaki-frontale
Shots,20,15
ShotsOnTarget,5,6
ShotsFromPK,0,0
Passes,418,540
Crosses,21,12
DirectFK,12,19
IndirectFK,4,5
CK,8,1
Throwin,21,16
Dribbling,11,6
Tackles,19,15
Clearances,17,38
Intercepts,2,3
Offsides,5,4
YellowCards,4,0
RedCards,0,0
30mLineEntries,44,50
PenaltyAreaEntries,18,19
DistanceCovered,120099,111316
Sprints,165,139
Attacks,125,115
ChanceBuildingRate,16.0,13.0
Possession,50.3,49.7
