,kashiwa-reysol,sanfrecce-hiroshima
Shots,18,21
ShotsOnTarget,7,5
ShotsFromPK,1,0
Passes,582,437
Crosses,16,24
DirectFK,5,16
IndirectFK,5,1
CK,7,2
Throwin,18,13
Dribbling,10,22
Tackles,14,23
Clearances,18,13
Intercepts,4,3
Offsides,1,5
YellowCards,1,0
RedCards,0,0
30mLineEntries,48,45
PenaltyAreaEntries,18,13
DistanceCovered,115724,107001
Sprints,142,125
Attacks,106,103
ChanceBuildingRate,17.0,20.4
Possession,54.2,45.8
