,gamba-osaka,yokohama-fa-marinos
Shots,14,9
ShotsOnTarget,4,3
ShotsFromPK,1,0
Passes,624,430
Crosses,25,12
DirectFK,9,12
IndirectFK,3,2
CK,6,4
Throwin,13,12
Dribbling,21,11
Tackles,28,27
Clearances,14,25
Intercepts,1,5
Offsides,2,3
YellowCards,2,2
RedCards,0,0
30mLineEntries,62,26
PenaltyAreaEntries,17,8
DistanceCovered,111078,110793
Sprints,167,145
Attacks,102,101
ChanceBuildingRate,13.7,8.9
Possession,55,45
