,avispa-fukuoka,shonan-bellmare
Shots,12,16
ShotsOnTarget,3,4
ShotsFromPK,0,0
Passes,282,377
Crosses,6,14
DirectFK,18,14
IndirectFK,2,5
CK,2,8
Throwin,22,24
Dribbling,8,10
Tackles,27,20
Clearances,29,29
Intercepts,1,0
Offsides,5,1
YellowCards,0,2
RedCards,0,0
30mLineEntries,27,53
PenaltyAreaEntries,11,18
DistanceCovered,109859,113002
Sprints,180,201
Attacks,128,135
ChanceBuildingRate,9.4,11.9
Possession,46.1,53.9
