,kawasaki-frontale,omiya-ardija
Shots,19,11
ShotsOnTarget,6,1
ShotsFromPK,0,0
Passes,721,458
Crosses,16,19
DirectFK,7,14
IndirectFK,1,5
CK,5,3
Throwin,26,23
Dribbling,9,15
Tackles,13,16
Clearances,19,17
Intercepts,4,5
Offsides,5,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,54,33
PenaltyAreaEntries,21,18
DistanceCovered,116144,117007
Sprints,163,179
Attacks,117,122
ChanceBuildingRate,16.2,9.0
Possession,55.8,44.2
