,gamba-osaka,shonan-bellmare
Shots,20,17
ShotsOnTarget,9,5
ShotsFromPK,0,0
Passes,536,396
Crosses,14,9
DirectFK,7,7
IndirectFK,0,3
CK,6,3
Throwin,26,22
Dribbling,9,10
Tackles,19,12
Clearances,16,29
Intercepts,0,3
Offsides,3,0
YellowCards,3,1
RedCards,0,0
30mLineEntries,49,50
PenaltyAreaEntries,15,9
DistanceCovered,109177,114677
Sprints,135,180
Attacks,116,108
ChanceBuildingRate,17.2,15.7
Possession,53.6,46.4
