,albirex-niigata,vegalta-sendai
Shots,10,13
ShotsOnTarget,4,4
ShotsFromPK,1,0
Passes,522,337
Crosses,18,11
DirectFK,8,18
IndirectFK,3,2
CK,6,4
Throwin,24,23
Dribbling,10,10
Tackles,16,22
Clearances,12,24
Intercepts,1,1
Offsides,2,3
YellowCards,3,1
RedCards,0,0
30mLineEntries,47,29
PenaltyAreaEntries,9,5
DistanceCovered,108732,105944
Sprints,147,135
Attacks,114,116
ChanceBuildingRate,8.8,11.2
Possession,56.2,43.8
