,omiya-ardija,fc-tokyo
Shots,16,10
ShotsOnTarget,4,2
ShotsFromPK,0,0
Passes,556,375
Crosses,20,13
DirectFK,18,13
IndirectFK,3,3
CK,5,5
Throwin,23,25
Dribbling,20,17
Tackles,24,24
Clearances,25,24
Intercepts,1,0
Offsides,3,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,51,41
PenaltyAreaEntries,16,11
DistanceCovered,106350,113782
Sprints,131,158
Attacks,133,129
ChanceBuildingRate,12.0,7.8
Possession,57.3,42.7
