,omiya-ardija,jubilo-iwata
Shots,13,16
ShotsOnTarget,7,4
ShotsFromPK,0,0
Passes,453,401
Crosses,18,21
DirectFK,19,12
IndirectFK,0,5
CK,7,10
Throwin,22,30
Dribbling,16,10
Tackles,32,18
Clearances,34,24
Intercepts,4,0
Offsides,5,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,40,42
PenaltyAreaEntries,15,15
DistanceCovered,109708,113489
Sprints,179,167
Attacks,126,130
ChanceBuildingRate,10.3,12.3
Possession,51.1,48.9
