,omiya-ardija,urawa-red-diamonds
Shots,7,9
ShotsOnTarget,0,1
ShotsFromPK,0,0
Passes,302,675
Crosses,14,21
DirectFK,11,20
IndirectFK,2,2
CK,3,7
Throwin,20,21
Dribbling,20,19
Tackles,30,22
Clearances,22,17
Intercepts,6,4
Offsides,2,1
YellowCards,4,1
RedCards,0,0
30mLineEntries,28,66
PenaltyAreaEntries,10,13
DistanceCovered,113133,115475
Sprints,210,233
Attacks,127,130
ChanceBuildingRate,5.5,6.9
Possession,37.4,62.6
