,kawasaki-frontale,vissel-kobe
Shots,20,2
ShotsOnTarget,7,1
ShotsFromPK,1,0
Passes,767,324
Crosses,14,9
DirectFK,21,11
IndirectFK,2,2
CK,5,1
Throwin,13,22
Dribbling,15,16
Tackles,26,20
Clearances,19,25
Intercepts,4,1
Offsides,2,2
YellowCards,1,4
RedCards,0,1
30mLineEntries,57,22
PenaltyAreaEntries,25,9
DistanceCovered,108049,108247
Sprints,151,186
Attacks,117,101
ChanceBuildingRate,17.1,2.0
Possession,62.7,37.3
