,kashima-antlers,kashiwa-reysol
Shots,16,8
ShotsOnTarget,1,5
ShotsFromPK,0,0
Passes,625,495
Crosses,36,10
DirectFK,8,11
IndirectFK,0,5
CK,6,2
Throwin,38,30
Dribbling,28,7
Tackles,18,36
Clearances,19,55
Intercepts,3,7
Offsides,5,0
YellowCards,1,1
RedCards,0,0
30mLineEntries,58,33
PenaltyAreaEntries,31,14
DistanceCovered,120604,124104
Sprints,190,179
Attacks,160,159
ChanceBuildingRate,10.0,5.0
Possession,52.9,47.1
