,ventforet-kofu,kashiwa-reysol
Shots,12,7
ShotsOnTarget,1,3
ShotsFromPK,0,0
Passes,400,627
Crosses,17,6
DirectFK,20,11
IndirectFK,2,5
CK,4,4
Throwin,38,23
Dribbling,18,15
Tackles,16,22
Clearances,13,46
Intercepts,1,1
Offsides,5,2
YellowCards,1,1
RedCards,0,0
30mLineEntries,36,25
PenaltyAreaEntries,9,7
DistanceCovered,117535,116912
Sprints,164,161
Attacks,125,114
ChanceBuildingRate,9.6,6.1
Possession,40.7,59.3
