,nagoya-grampus-eight,vegalta-sendai
Shots,9,8
ShotsOnTarget,2,4
ShotsFromPK,0,0
Passes,423,362
Crosses,20,15
DirectFK,12,12
IndirectFK,1,4
CK,5,2
Throwin,42,27
Dribbling,12,13
Tackles,16,30
Clearances,11,35
Intercepts,4,0
Offsides,4,1
YellowCards,3,3
RedCards,0,0
30mLineEntries,43,32
PenaltyAreaEntries,18,9
DistanceCovered,108649,108289
Sprints,161,154
Attacks,141,132
ChanceBuildingRate,6.4,6.1
Possession,53.8,46.2
