Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-25,cerezo-osaka,14,1-1,1,1,0,1,ヤンマー,23049,雨,51,41,0.123,17,0.059,0.58,17.55,13.13,100.56,17.47,['山中'],アンジェ　ポステコグルー
2,2019-03-02,kashiwa-reysol,5,0-2,0,2,2,1,三協Ｆ柏,10659,晴,54,48,0.105,14,0.0,0.636,20.72,16.92,100.75,11.77,[''],アンジェ　ポステコグルー
3,2019-03-01,sagan-tosu,17,1-2,1,2,2,0,ニッパツ,11247,曇,47,36,0.08,10,0.1,0.673,18.37,15.25,71.56,9.91,['ウーゴヴィエイラ'],アンジェ　ポステコグルー
4,2019-03-18,urawa-red-diamonds,4,1-0,1,0,1,1,埼玉,33168,曇,57,51,0.088,11,0.091,0.59,19.76,15.73,85.74,12.56,['ウーゴヴィエイラ'],アンジェ　ポステコグルー
5,2019-03-31,shimizu-s-pulse,11,1-0,1,0,1,1,アイスタ,17032,曇,46,43,0.087,12,0.083,0.564,15.49,13.61,87.04,23.89,['ウーゴヴィエイラ'],アンジェ　ポステコグルー
6,2019-04-08,kawasaki-frontale,7,1-1,1,1,0,0,日産ス,37332,晴,54,34,0.094,12,0.083,0.508,19.98,13.28,97.23,17.33,['中澤'],アンジェ　ポステコグルー
7,2019-04-11,sanfrecce-hiroshima,16,1-3,1,3,2,1,Ｅスタ,7344,曇,49,44,0.042,5,0.2,0.64,21.1,17.39,73.14,13.01,['ウーゴヴィエイラ'],アンジェ　ポステコグルー
8,2019-04-15,vissel-kobe,15,1-2,1,2,2,0,日産ス,16313,曇のち晴,66,52,0.132,19,0.053,0.613,24.35,18.57,119.13,11.55,['オリヴィエブマル'],アンジェ　ポステコグルー
9,2019-04-21,shonan-bellmare,10,4-4,4,4,0,0,日産ス,19117,晴,70,61,0.153,22,0.182,0.662,29.7,22.05,111.01,10.16,"['ウーゴヴィエイラx3', 'ミロシュデゲネク']",アンジェ　ポステコグルー
10,2019-04-25,consadole-sapporo,1,1-2,1,2,2,1,札幌厚別,6729,雨,58,57,0.127,17,0.059,0.613,20.94,14.56,70.93,9.76,['金井'],アンジェ　ポステコグルー
11,2019-04-28,kashima-antlers,3,3-0,3,0,1,0,日産ス,27348,晴,44,32,0.053,8,0.375,0.516,13.1,9.28,104.55,15.72,"['遠藤', '天野', '中町']",アンジェ　ポステコグルー
12,2019-05-02,other,0,1-3,1,3,2,0,日産ス,19738,曇時々雨,52,52,0.098,11,0.091,0.662,22.8,17.84,46.42,8.41,['仲川'],アンジェ　ポステコグルー
13,2019-05-05,nagoya-grampus-eight,12,1-1,1,1,0,1,豊田ス,38280,晴,56,33,0.119,16,0.063,0.585,19.2,12.34,89.2,17.06,['喜田'],アンジェ　ポステコグルー
14,2019-05-12,gamba-osaka,13,1-1,1,1,0,0,日産ス,21576,晴,64,59,0.146,18,0.056,0.637,21.66,18.33,89.38,8.82,['天野'],アンジェ　ポステコグルー
15,2019-05-19,other,0,5-2,5,2,1,0,日産ス,17379,曇のち晴,49,44,0.139,17,0.294,0.647,17.13,12.84,87.36,8.65,"['大津', '仲川x2', '扇原', 'ミロシュデゲネク']",アンジェ　ポステコグルー
