,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2019-02-22,(金),神戸,1-0,1,0,H,ヤンマー,42221,曇,43,39,0.111,11,0.091,0.388,12.66,11.3,85.33,13.15,['山下'],ロティーナ
1,2,2019-03-02,(土),名古屋,0-2,0,2,A,パロ瑞穂,19861,晴,15,27,0.039,4,0.0,0.424,9.27,8.4,72.02,14.89,[''],ロティーナ
2,3,2019-03-09,(土),広島,0-1,0,1,H,ヤンマー,12044,晴,52,49,0.1,12,0.0,0.67,24.43,20.4,101.55,11.33,[''],ロティーナ
3,4,2019-03-17,(日),浦和,1-2,1,2,H,ヤンマー,21022,曇,58,56,0.204,21,0.048,0.598,21.72,17.38,74.57,10.31,['ソウザ'],ロティーナ
4,5,2019-03-03,(土),仙台,2-0,2,0,A,ユアスタ,10931,雪,46,56,0.102,13,0.154,0.543,16.5,13.5,132.56,13.39,"['都倉', '田中']",ロティーナ
5,6,2019-04-05,(金),川崎Ｆ,1-1,1,1,A,等々力,21494,晴,44,35,0.05,6,0.167,0.443,12.83,9.92,93.12,22.38,['柿谷'],ロティーナ
6,7,2019-04-13,(土),札幌,0-1,0,1,H,ヤンマー,15125,晴,54,40,0.104,11,0.0,0.53,15.88,12.71,63.79,16.56,[''],ロティーナ
7,8,2019-04-02,(土),清水,0-1,0,1,A,アイスタ,11028,曇,48,47,0.128,15,0.0,0.622,18.18,14.88,74.27,13.0,[''],ロティーナ
8,9,2019-04-27,(土),大分,0-0,0,0,H,ヤンマー,19910,晴時々曇一時雨,61,61,0.115,11,0.0,0.423,17.01,14.11,51.32,13.49,[''],ロティーナ
9,10,2019-05-04,(土),松本,2-0,2,0,A,サンアル,18397,晴,55,47,0.181,21,0.095,0.576,16.7,11.33,89.05,17.17,"['Ｂメンデス', '奥埜']",ロティーナ
10,11,2019-05-11,(土),横浜FM,3-0,3,0,H,ヤンマー,14934,晴,69,53,0.115,12,0.25,0.347,12.63,8.31,81.22,10.73,"['高木', '水沼x2']",ロティーナ
11,12,2019-05-18,(土),Ｇ大阪,0-1,0,1,A,パナスタ,35861,曇,58,52,0.108,13,0.0,0.49,19.66,15.7,86.58,11.92,[''],ロティーナ
12,13,2019-05-25,(土),FC東京,1-0,1,0,H,ヤンマー,24624,晴,50,41,0.145,17,0.059,0.53,12.74,10.43,78.07,9.47,['Ｂメンデス'],ロティーナ
13,14,2019-06-01,(土),鳥栖,1-0,1,0,A,駅スタ,12083,晴のち曇,37,35,0.118,12,0.083,0.478,9.83,8.74,56.66,15.34,['Ｂメンデス'],ロティーナ
14,15,2019-06-14,(金),鹿島,0-2,0,2,A,カシマ,10208,曇,46,48,0.168,16,0.0,0.533,13.6,10.79,77.67,10.71,[''],ロティーナ
15,16,2019-06-22,(土),磐田,2-0,2,0,H,ヤンマー,17728,曇,54,39,0.126,14,0.143,0.537,15.04,11.29,85.22,19.53,"['Ｂメンデス', '水沼']",ロティーナ
16,17,2019-06-03,(日),湘南,2-0,2,0,A,ＢＭＷス,12821,雨,52,44,0.183,17,0.118,0.505,13.24,11.95,50.97,15.55,"['奥埜', '清武']",ロティーナ
17,18,2019-07-06,(土),広島,1-1,1,1,A,Ｅスタ,15032,晴,39,34,0.086,10,0.1,0.488,12.45,10.0,88.66,20.32,['水沼'],ロティーナ
18,19,2019-07-13,(土),名古屋,3-0,3,0,H,ヤンマー,16382,雨,45,35,0.133,13,0.231,0.454,15.71,12.09,86.9,20.55,"['丸橋', '高木', 'Ｂメンデス']",ロティーナ
19,20,2019-07-02,(土),仙台,0-0,0,0,H,ヤンマー,15574,曇,59,40,0.148,16,0.0,0.598,17.84,14.46,60.34,17.23,[''],ロティーナ
20,21,2019-08-03,(土),FC東京,0-3,0,3,A,味スタ,28721,晴,55,42,0.133,14,0.0,0.611,18.33,13.94,75.5,11.04,[''],ロティーナ
21,22,2019-08-11,(日),鳥栖,1-2,1,2,H,ヤンマー,27571,晴,57,47,0.168,18,0.056,0.464,15.94,13.57,77.8,13.27,['奥埜'],ロティーナ
22,23,2019-08-17,(土),横浜FM,2-1,2,1,A,日産ス,28304,晴,45,22,0.125,13,0.154,0.358,9.7,6.83,63.63,25.94,['奥埜x2'],ロティーナ
23,24,2019-08-24,(土),磐田,2-0,2,0,A,ヤマハ,11482,曇,44,33,0.121,13,0.154,0.542,13.82,11.52,79.79,16.38,"['丸橋', '水沼']",ロティーナ
24,25,2019-09-01,(日),川崎Ｆ,2-1,2,1,H,ヤンマー,27201,曇,46,26,0.097,10,0.2,0.397,8.03,6.48,76.21,20.42,"['瀬古', '鈴木']",ロティーナ
25,26,2019-09-13,(金),浦和,2-1,2,1,A,埼玉,22640,晴,37,50,0.075,8,0.25,0.517,11.32,9.77,83.13,18.84,"['松田', '田中']",ロティーナ
26,27,2019-09-28,(土),Ｇ大阪,3-1,3,1,H,ヤンマー,36990,曇のち晴,48,34,0.109,11,0.273,0.432,13.36,9.08,69.58,18.85,"['Ｂメンデス', 'マテイヨニッチ', '水沼']",ロティーナ
27,28,2019-10-06,(日),鹿島,0-1,0,1,H,ヤンマー,23001,晴,58,42,0.127,15,0.0,0.638,18.43,13.82,87.72,10.51,[''],ロティーナ
28,29,2019-10-18,(金),札幌,1-0,1,0,A,札幌ド,12443,屋内,49,27,0.131,13,0.077,0.486,14.2,10.83,69.94,23.8,['柿谷'],ロティーナ
