,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2018-02-25,(日),横浜FM,1-1,1,1,H,ヤンマー,23049,雨,59,49,0.097,14,0.071,0.42,10.44,9.06,72.83,16.72,['柿谷'],尹　晶煥
1,2,2018-03-02,(金),札幌,3-3,3,3,H,金鳥スタ,10415,晴,54,42,0.131,16,0.188,0.461,14.39,11.33,91.49,16.08,"['杉本', '高木', '柿谷']",尹　晶煥
2,3,2018-03-01,(土),柏,1-1,1,1,A,三協Ｆ柏,11091,晴,67,54,0.109,15,0.067,0.518,17.98,13.91,87.1,14.66,['ソウザ'],尹　晶煥
3,4,2018-03-18,(日),神戸,0-2,0,2,A,ノエスタ,20108,晴,58,50,0.105,13,0.0,0.459,15.5,11.67,91.53,11.92,[''],尹　晶煥
4,5,2018-03-31,(土),湘南,2-1,2,1,H,金鳥スタ,13882,晴,56,53,0.122,16,0.125,0.569,19.33,14.83,111.21,13.76,"['ヤンドンヒョン', '杉本']",尹　晶煥
5,6,2018-04-07,(土),鳥栖,2-1,2,1,H,金鳥スタ,10627,曇一時晴,42,52,0.104,14,0.143,0.504,14.02,10.94,92.86,15.88,"['柿谷', '丸橋']",尹　晶煥
6,7,2018-04-11,(水),川崎Ｆ,2-1,2,1,A,等々力,17113,曇時々雨,45,38,0.078,9,0.222,0.402,11.43,7.9,94.49,19.27,"['丸橋', '福満']",尹　晶煥
7,8,2018-04-14,(土),FC東京,1-0,1,0,H,ヤンマー,17790,雨時々曇,50,47,0.115,14,0.071,0.44,14.52,10.85,80.08,18.69,['高木'],尹　晶煥
8,9,2018-04-21,(土),Ｇ大阪,0-1,0,1,A,吹田Ｓ,35242,晴,57,46,0.168,22,0.0,0.524,15.89,12.17,86.61,9.38,[''],尹　晶煥
9,10,2018-04-25,(水),仙台,2-1,2,1,H,金鳥スタ,8165,曇,62,47,0.195,25,0.08,0.478,19.82,13.2,74.11,14.4,['清武x2'],尹　晶煥
10,11,2018-04-28,(土),磐田,1-1,1,1,A,ヤマハ,13884,晴,0,44,0.015,2,0.5,0.502,10.3,9.06,95.94,18.98,['杉本'],尹　晶煥
11,12,2018-05-02,(水),名古屋,0-0,0,0,A,パロ瑞穂,13220,雨,52,60,0.092,12,0.0,0.49,13.99,11.95,91.8,12.75,[''],尹　晶煥
12,13,2018-05-05,(土),長崎,3-1,3,1,H,ヤンマー,29845,晴,48,48,0.095,12,0.25,0.488,14.52,12.1,102.49,18.11,"['柿谷', '丸橋', '水沼']",尹　晶煥
13,15,2018-05-02,(日),広島,2-0,2,0,A,Ｅスタ,20219,晴のち曇,49,37,0.109,13,0.154,0.479,14.41,13.58,94.93,24.35,['高木x2'],尹　晶煥
14,16,2018-07-18,(水),清水,0-3,0,3,A,アイスタ,9782,晴,49,49,0.091,11,0.0,0.548,20.04,17.71,92.64,15.46,[''],尹　晶煥
15,17,2018-07-22,(日),浦和,1-1,1,1,H,ヤンマー,27915,晴,55,41,0.121,14,0.071,0.451,12.38,7.81,61.67,14.22,['高木'],尹　晶煥
16,14,2018-07-25,(水),鹿島,0-2,0,2,H,ヤンマー,16631,晴,39,52,0.118,15,0.0,0.541,14.6,10.96,93.48,12.04,[''],尹　晶煥
17,18,2018-07-28,(土),仙台,2-2,2,2,A,ユアスタ,14911,曇,47,44,0.129,15,0.133,0.544,14.74,11.33,84.32,16.2,['丸橋x2'],尹　晶煥
18,19,2018-08-01,(水),神戸,1-1,1,1,H,金鳥スタ,14241,晴,50,38,0.116,13,0.0,0.397,11.99,8.74,86.31,14.77,['OG'],尹　晶煥
19,20,2018-08-05,(日),鳥栖,0-1,0,1,A,ベアスタ,14463,晴,55,48,0.117,13,0.0,0.62,18.72,14.57,69.62,11.72,[''],尹　晶煥
20,21,2018-08-11,(土),札幌,1-1,1,1,A,札幌ド,21614,屋内,55,48,0.15,17,0.059,0.568,21.57,19.03,84.76,11.93,['マテイヨニッチ'],尹　晶煥
21,22,2018-08-15,(水),清水,3-1,3,1,H,金鳥スタ,14628,曇,54,48,0.152,17,0.176,0.585,18.67,14.14,70.47,12.73,"['杉本', 'ソウザ', '高木']",尹　晶煥
22,23,2018-08-19,(日),長崎,2-0,2,0,A,トラスタ,12366,晴,58,50,0.18,20,0.1,0.536,15.89,12.68,64.96,10.55,"['丸橋', 'マテイヨニッチ']",尹　晶煥
23,24,2018-08-25,(土),広島,0-1,0,1,H,ヤンマー,23442,晴,55,34,0.107,12,0.0,0.531,18.1,14.71,77.43,13.86,[''],尹　晶煥
24,25,2018-09-01,(土),浦和,2-1,2,1,A,埼玉,27337,雨一時雷,52,47,0.112,12,0.167,0.467,15.69,11.82,79.97,17.61,"['オスマル', 'ソウザ']",尹　晶煥
25,26,2018-09-14,(金),磐田,1-1,1,1,H,金鳥スタ,13112,曇時々雨,62,66,0.183,20,0.05,0.603,25.31,20.11,90.0,12.24,['オスマル'],尹　晶煥
26,27,2018-09-22,(土),湘南,1-1,1,1,A,ＢＭＷス,12173,晴,69,58,0.197,24,0.042,0.606,24.37,18.98,82.82,10.42,['ソウザ'],尹　晶煥
27,29,2018-10-06,(土),Ｇ大阪,0-1,0,1,H,ヤンマー,34303,晴,59,43,0.148,17,0.0,0.499,19.94,12.46,76.49,12.05,[''],尹　晶煥
28,30,2018-10-02,(土),FC東京,1-0,1,0,A,味スタ,28053,曇時々雨,43,33,0.063,8,0.125,0.456,14.78,12.45,75.38,24.05,['清武'],尹　晶煥
29,31,2018-10-31,(水),鹿島,0-1,0,1,A,カシマ,9233,曇,51,42,0.104,14,0.0,0.526,17.09,14.35,93.19,12.99,[''],尹　晶煥
30,28,2018-11-06,(火),名古屋,0-1,0,1,H,金鳥スタ,12027,晴,50,60,0.084,10,0.0,0.496,14.41,13.31,111.36,8.44,[''],尹　晶煥
31,32,2018-11-01,(土),川崎Ｆ,2-1,2,1,H,ヤンマー,26600,晴,48,31,0.107,13,0.154,0.417,13.71,9.07,90.16,19.64,"['杉本', '山村']",尹　晶煥
32,33,2018-11-24,(土),柏,0-3,0,3,H,ヤンマー,23110,晴,64,50,0.102,14,0.0,0.605,26.74,21.64,107.78,14.29,[''],尹　晶煥
33,34,2018-12-01,(土),横浜FM,2-1,2,1,A,日産ス,30608,晴,55,53,0.194,24,0.083,0.421,16.43,10.08,81.64,21.9,"['山村', '清武']",尹　晶煥
