,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2019-02-23,(土),大分,1-2,1,2,0,カシマ,19463,晴,72,63,0.152,21,0.048,0.506,24.65,19.77,120.87,10.04,['伊藤'],大岩　剛
1,2,2019-03-01,(金),川崎Ｆ,1-1,1,1,1,等々力,23927,晴,57,32,0.075,8,0.125,0.347,10.43,8.09,92.09,20.48,['伊藤'],大岩　剛
2,3,2019-03-09,(土),湘南,1-0,1,0,0,カシマ,16659,晴,62,45,0.127,15,0.067,0.575,18.53,15.32,75.31,14.64,['安西'],大岩　剛
3,4,2019-03-17,(日),札幌,3-1,3,1,1,札幌ド,23002,屋内,51,53,0.136,14,0.214,0.461,15.1,10.04,73.75,15.7,"['伊藤x2', 'レアンドロ']",大岩　剛
4,5,2019-03-03,(土),磐田,1-1,1,1,1,ヤマハ,13111,晴のち曇一時雨,66,99,0.119,15,0.067,0.583,19.01,15.3,79.68,9.59,['レオシルバ'],大岩　剛
5,6,2019-04-05,(金),名古屋,2-1,2,1,0,カシマ,14163,晴,53,40,0.099,14,0.143,0.421,12.45,8.18,120.72,14.34,"['土居', 'レオシルバ']",大岩　剛
6,7,2019-04-14,(日),FC東京,1-3,1,3,1,味スタ,38414,曇,70,44,0.102,13,0.077,0.646,23.92,20.32,97.65,11.65,['レオシルバ'],大岩　剛
7,8,2019-04-02,(土),仙台,1-0,1,0,0,カシマ,16844,曇のち晴,60,55,0.096,12,0.083,0.565,18.68,14.88,99.88,16.52,['犬飼'],大岩　剛
8,9,2019-04-28,(日),横浜FM,1-2,1,2,1,日産ス,38561,晴,34,37,0.058,7,0.143,0.324,6.0,4.8,82.09,19.41,['安西'],大岩　剛
9,10,2019-05-03,(金),清水,3-0,3,0,0,カシマ,31182,晴のち曇,64,52,0.134,15,0.2,0.585,24.02,20.52,111.75,10.39,"['土居', '安部', '安西']",大岩　剛
10,11,2019-05-12,(日),神戸,1-0,1,0,1,ノエスタ,20119,晴,56,61,0.15,19,0.053,0.423,16.59,13.73,106.71,13.56,['セルジーニョ'],大岩　剛
11,12,2019-05-18,(土),松本,5-0,5,0,0,カシマ,20700,晴,55,61,0.112,14,0.357,0.606,20.26,14.83,107.43,6.95,"['レオシルバ', 'セルジーニョ', '白崎x2', '中村']",大岩　剛
12,13,2019-05-26,(日),鳥栖,0-1,0,1,1,駅スタ,14130,晴,54,43,0.097,11,0.0,0.517,11.28,7.7,72.18,17.85,[''],大岩　剛
13,14,2019-06-01,(土),Ｇ大阪,1-1,1,1,1,パナスタ,30495,晴,64,54,0.078,8,0.125,0.465,16.12,14.84,95.83,10.36,['土居'],大岩　剛
14,15,2019-06-14,(金),Ｃ大阪,2-0,2,0,0,カシマ,10208,曇,52,54,0.104,10,0.2,0.467,15.3,10.58,66.5,11.39,"['セルジーニョ', '白崎']",大岩　剛
15,17,2019-06-03,(日),広島,2-2,2,2,0,カシマ,13502,雨,53,48,0.082,10,0.2,0.518,14.67,13.23,93.2,13.37,"['レアンドロ', '町田']",大岩　剛
16,18,2019-07-06,(土),磐田,2-0,2,0,0,カシマ,17442,雨のち曇,39,41,0.027,3,0.333,0.393,5.15,4.28,61.5,13.24,"['小池', 'OG']",大岩　剛
17,19,2019-07-13,(土),仙台,4-0,4,0,1,ユアスタ,17639,晴,58,45,0.157,18,0.222,0.493,16.51,12.31,83.27,15.12,"['セルジーニョx2', '白崎', '土居']",大岩　剛
18,20,2019-07-02,(土),鳥栖,2-1,2,1,0,カシマ,25117,曇のち雨,63,47,0.146,15,0.133,0.513,14.72,11.93,53.74,12.64,"['レアンドロ', '白崎']",大岩　剛
19,16,2019-07-31,(水),浦和,1-1,1,1,1,埼玉,37265,晴,56,46,0.108,13,0.077,0.436,14.85,11.4,68.53,16.28,['伊藤'],大岩　剛
20,21,2019-08-03,(土),湘南,2-3,2,3,1,ＢＭＷス,14237,晴,57,44,0.137,17,0.118,0.584,15.42,13.73,62.63,12.86,"['セルジーニョ', '伊藤']",大岩　剛
21,22,2019-08-01,(土),横浜FM,2-1,2,1,0,カシマ,29790,晴,59,56,0.103,11,0.182,0.365,8.92,7.08,74.27,14.96,"['セルジーニョ', '上田']",大岩　剛
22,23,2019-08-17,(土),大分,1-0,1,0,1,昭和電ド,28574,晴,45,66,0.067,6,0.167,0.409,11.08,10.79,62.8,11.48,['相馬'],大岩　剛
23,24,2019-08-23,(金),Ｇ大阪,2-2,2,2,0,カシマ,16063,曇,57,54,0.188,18,0.111,0.516,18.42,15.13,57.14,9.22,"['セルジーニョ', '伊藤']",大岩　剛
24,25,2019-09-01,(日),清水,4-0,4,0,1,アイスタ,15480,晴,53,46,0.087,9,0.444,0.467,11.81,10.64,64.32,13.31,"['遠藤', 'セルジーニョ', '上田x2']",大岩　剛
25,26,2019-09-14,(土),FC東京,2-0,2,0,0,カシマ,27285,晴,55,38,0.077,9,0.222,0.473,10.78,9.21,81.36,18.13,"['ブエノ', 'セルジーニョ']",大岩　剛
26,27,2019-09-28,(土),札幌,1-1,1,1,0,カシマ,19314,曇,51,57,0.102,13,0.077,0.597,18.13,15.48,98.95,13.98,['セルジーニョ'],大岩　剛
27,28,2019-10-06,(日),Ｃ大阪,1-0,1,0,1,ヤンマー,23001,晴,58,42,0.075,8,0.125,0.362,8.69,6.99,51.17,20.46,['犬飼'],大岩　剛
28,29,2019-10-18,(金),松本,1-1,1,1,1,サンアル,19479,雨,50,53,0.104,11,0.091,0.693,19.94,16.78,54.14,9.65,['上田'],大岩　剛
29,30,2019-11-01,(金),浦和,1-0,1,0,0,カシマ,14439,晴,58,51,0.109,12,0.083,0.508,16.34,11.17,82.69,15.77,['セルジーニョ'],大岩　剛
30,31,2019-11-09,(土),川崎Ｆ,0-2,0,2,0,カシマ,23195,晴,56,63,0.116,15,0.0,0.509,14.83,11.87,85.25,8.92,[''],大岩　剛
31,32,2019-11-23,(土),広島,0-0,0,0,1,Ｅスタ,17033,晴,54,40,0.135,13,0.0,0.504,14.56,12.8,78.33,13.7,[''],大岩　剛
32,33,2019-11-03,(土),神戸,1-3,1,3,0,カシマ,34312,晴,67,49,0.115,15,0.067,0.398,15.14,11.92,116.7,12.66,['土居'],大岩　剛
33,34,2019-12-07,(土),名古屋,1-0,1,0,1,豊田ス,33133,曇,51,58,0.081,10,0.0,0.425,12.48,9.76,76.96,17.42,['OG'],大岩　剛
