,,Date,Winning,Match1,Match1,Match1,Match1,Match2,Match2,Match2,Match2,Match3,Match3,Match3,Match3,Match4,Match4,Match4,Match4,Match5,Match5,Match5,Match5
761,A,2015-04-28,14469,15070118,kashima-antlers,vissel-kobe,2,15074654,matsumoto-yamaga,vegalta-sendai,1,15071007,sanfrecce-hiroshima,shimizu-s-pulse,1,15070512,yokohama-fa-marinos,shonan-bellmare,1,15073311,sagan-tosu,kashiwa-reysol,0
762,A,2015-05-01,9702,15085401,vegalta-sendai,kashima-antlers,2,15082111,kawasaki-frontale,kashiwa-reysol,2,15087822,albirex-niigata,fc-tokyo,2,15081233,shonan-bellmare,sagan-tosu,1,15081808,vissel-kobe,nagoya-grampus-eight,2
763,A,2015-05-08,19196,15090812,nagoya-grampus-eight,shonan-bellmare,1,15090309,urawa-red-diamonds,gamba-osaka,1,15090128,kashima-antlers,ventforet-kofu,2,15092221,fc-tokyo,kawasaki-frontale,1,15091054,sanfrecce-hiroshima,vegalta-sendai,1
764,A,2015-05-08,18079,15104628,matsumoto-yamaga,ventforet-kofu,1,15107829,albirex-niigata,montedio-yamagata,0,15100733,shimizu-s-pulse,sagan-tosu,0,15102110,kawasaki-frontale,sanfrecce-hiroshima,2,15100508,yokohama-fa-marinos,nagoya-grampus-eight,1
766,A,2015-05-19,12322,15122829,ventforet-kofu,montedio-yamagata,1,15127854,albirex-niigata,vegalta-sendai,2,15120110,kashima-antlers,sanfrecce-hiroshima,0,15120705,shimizu-s-pulse,yokohama-fa-marinos,2,15120322,urawa-red-diamonds,fc-tokyo,1
767,A,2015-05-22,10537,15042228,fc-tokyo,ventforet-kofu,1,15101246,shonan-bellmare,matsumoto-yamaga,1,15173310,sagan-tosu,sanfrecce-hiroshima,1,15062129,kawasaki-frontale,montedio-yamagata,0,15030708,shimizu-s-pulse,nagoya-grampus-eight,2
768,A,2015-05-26,3290,15132918,montedio-yamagata,vissel-kobe,2,15132208,fc-tokyo,nagoya-grampus-eight,2,15132133,kawasaki-frontale,sagan-tosu,1,15134605,matsumoto-yamaga,yokohama-fa-marinos,2,15131078,sanfrecce-hiroshima,albirex-niigata,1
769,A,2015-05-29,32925,15167812,albirex-niigata,shonan-bellmare,1,15131022,sanfrecce-hiroshima,fc-tokyo,0,15111807,vissel-kobe,shimizu-s-pulse,2,15015429,vegalta-sendai,montedio-yamagata,2,15010521,yokohama-fa-marinos,kawasaki-frontale,2
770,A,2015-06-02,33293,15147828,albirex-niigata,ventforet-kofu,2,15140829,nagoya-grampus-eight,montedio-yamagata,0,15141854,vissel-kobe,vegalta-sendai,2,15140509,yokohama-fa-marinos,gamba-osaka,0,15143303,sagan-tosu,urawa-red-diamonds,2
771,A,2015-06-05,11356,15094678,matsumoto-yamaga,albirex-niigata,2,15011028,sanfrecce-hiroshima,ventforet-kofu,1,15092905,montedio-yamagata,yokohama-fa-marinos,2,15172154,kawasaki-frontale,vegalta-sendai,0,15120818,nagoya-grampus-eight,vissel-kobe,2
774,A,2015-06-23,6991,15160501,yokohama-fa-marinos,kashima-antlers,2,15160728,shimizu-s-pulse,ventforet-kofu,2,15160954,gamba-osaka,vegalta-sendai,0,15161029,sanfrecce-hiroshima,montedio-yamagata,1,15163322,sagan-tosu,fc-tokyo,2
775,A,2015-06-30,2124,15172909,montedio-yamagata,gamba-osaka,2,15170378,urawa-red-diamonds,albirex-niigata,1,15172207,fc-tokyo,shimizu-s-pulse,1,15171805,vissel-kobe,yokohama-fa-marinos,0,15173310,sagan-tosu,sanfrecce-hiroshima,0
778,A,2015-07-14,1093,15015410,vegalta-sendai,sanfrecce-hiroshima,2,15012122,kawasaki-frontale,fc-tokyo,1,15017801,albirex-niigata,kashima-antlers,2,15010718,shimizu-s-pulse,vissel-kobe,2,15010928,gamba-osaka,ventforet-kofu,1
779,A,2015-07-17,70866,15020107,kashima-antlers,shimizu-s-pulse,0,15020511,yokohama-fa-marinos,kashiwa-reysol,2,15020809,nagoya-grampus-eight,gamba-osaka,1,15021812,vissel-kobe,shonan-bellmare,0,15023321,sagan-tosu,kawasaki-frontale,0
779,B,2015-07-17,9433,15023321,sagan-tosu,kawasaki-frontale,0,15022903,montedio-yamagata,urawa-red-diamonds,0,15022278,fc-tokyo,albirex-niigata,1,15022854,ventforet-kofu,vegalta-sendai,0,15021046,sanfrecce-hiroshima,matsumoto-yamaga,1
782,A,2015-07-28,11599,15042978,montedio-yamagata,albirex-niigata,2,15040122,kashima-antlers,fc-tokyo,1,15042846,ventforet-kofu,matsumoto-yamaga,2,15040803,nagoya-grampus-eight,urawa-red-diamonds,1,15041809,vissel-kobe,gamba-osaka,2
783,A,2015-07-31,9853,15052254,fc-tokyo,vegalta-sendai,1,15051211,shonan-bellmare,kashiwa-reysol,1,15057809,albirex-niigata,gamba-osaka,0,15053301,sagan-tosu,kashima-antlers,2,15051810,vissel-kobe,sanfrecce-hiroshima,2
783,B,2015-07-31,6730,15051810,vissel-kobe,sanfrecce-hiroshima,2,15052908,montedio-yamagata,nagoya-grampus-eight,2,15050328,urawa-red-diamonds,ventforet-kofu,0,15050507,yokohama-fa-marinos,shimizu-s-pulse,2,15054621,matsumoto-yamaga,kawasaki-frontale,2
786,A,2015-08-14,6210,15065446,vegalta-sendai,matsumoto-yamaga,1,15061118,kashiwa-reysol,vissel-kobe,1,15062822,ventforet-kofu,fc-tokyo,2,15060805,nagoya-grampus-eight,yokohama-fa-marinos,2,15061001,sanfrecce-hiroshima,kashima-antlers,2
788,A,2015-08-25,4973,15082818,ventforet-kofu,vissel-kobe,1,15080129,kashima-antlers,montedio-yamagata,1,15087810,albirex-niigata,sanfrecce-hiroshima,2,15080822,nagoya-grampus-eight,fc-tokyo,0,15083305,sagan-tosu,yokohama-fa-marinos,2
789,A,2015-09-01,8844,15090722,shimizu-s-pulse,fc-tokyo,0,15095478,vegalta-sendai,albirex-niigata,2,15092101,kawasaki-frontale,kashima-antlers,2,15091833,vissel-kobe,sagan-tosu,1,15091008,sanfrecce-hiroshima,nagoya-grampus-eight,1
794,A,2015-09-15,34619,15100109,kashima-antlers,gamba-osaka,2,15100854,nagoya-grampus-eight,vegalta-sendai,2,15102218,fc-tokyo,vissel-kobe,1,15107805,albirex-niigata,yokohama-fa-marinos,0,15103307,sagan-tosu,shimizu-s-pulse,0
795,A,2015-09-25,7677,15112801,ventforet-kofu,kashima-antlers,2,15115412,vegalta-sendai,shonan-bellmare,0,15110522,yokohama-fa-marinos,fc-tokyo,1,15110703,shimizu-s-pulse,urawa-red-diamonds,2,15111033,sanfrecce-hiroshima,sagan-tosu,0
797,A,2015-09-29,14144,15122954,montedio-yamagata,vegalta-sendai,0,15121205,shonan-bellmare,yokohama-fa-marinos,0,15123328,sagan-tosu,ventforet-kofu,2,15122246,fc-tokyo,matsumoto-yamaga,1,15127821,albirex-niigata,kawasaki-frontale,2
798,A,2015-10-06,21777,15135405,vegalta-sendai,yokohama-fa-marinos,2,15134607,matsumoto-yamaga,shimizu-s-pulse,1,15131801,vissel-kobe,kashima-antlers,2,15130333,urawa-red-diamonds,sagan-tosu,0,15131229,shonan-bellmare,montedio-yamagata,2
801,A,2015-10-20,13021,15142212,fc-tokyo,shonan-bellmare,2,15140518,yokohama-fa-marinos,vissel-kobe,1,15141021,sanfrecce-hiroshima,kawasaki-frontale,1,15140754,shimizu-s-pulse,vegalta-sendai,2,15140903,gamba-osaka,urawa-red-diamonds,1
802,A,2015-10-27,3299,15152203,fc-tokyo,urawa-red-diamonds,2,15152105,kawasaki-frontale,yokohama-fa-marinos,2,15154633,matsumoto-yamaga,sagan-tosu,2,15150878,nagoya-grampus-eight,albirex-niigata,1,15151829,vissel-kobe,montedio-yamagata,1
804,A,2015-11-10,6775,15162907,montedio-yamagata,shimizu-s-pulse,2,15160321,urawa-red-diamonds,kawasaki-frontale,0,15160828,nagoya-grampus-eight,ventforet-kofu,1,15161846,vissel-kobe,matsumoto-yamaga,1,15163354,sagan-tosu,vegalta-sendai,1
805,A,2015-11-17,9353,15065446,vegalta-sendai,matsumoto-yamaga,1,15171805,vissel-kobe,yokohama-fa-marinos,1,15053329,sagan-tosu,montedio-yamagata,1,15091128,kashiwa-reysol,ventforet-kofu,0,15132109,kawasaki-frontale,gamba-osaka,2
806,A,2015-11-25,5659,15170108,kashima-antlers,nagoya-grampus-eight,1,15170318,urawa-red-diamonds,vissel-kobe,1,15170546,yokohama-fa-marinos,matsumoto-yamaga,0,15172807,ventforet-kofu,shimizu-s-pulse,0,15171012,sanfrecce-hiroshima,shonan-bellmare,1
